Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,C,Si,Zr,B,Y,Sn,Li,Mg,Zn,Sc,Hf,Ta,W,Be,Pd,Pt,Rh,Ir,Au,Ag,HV
0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520
0.23809,0.19047,0.19047,0.19047,0.19047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487
0.23809,0.19047,0.19047,0.19047,0.19047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499
0.2727,0.1818,0.1818,0.1818,0.1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484
0.2727,0.1818,0.1818,0.1818,0.1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517
0.2727,0.1818,0.1818,0.1818,0.1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402
0.3333,0.16667,0.16667,0.16667,0.16667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509
0.3333,0.16667,0.16667,0.16667,0.16667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512
0.3333,0.16667,0.16667,0.16667,0.16667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432
0.3846,0.1538,0.1538,0.1538,0.1538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487
0.42857,0.14285,0.14285,0.14285,0.14285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506
0.196078,0.196078,0.196078,0.196078,0.196078,0,0,0,0,0,0,0.019607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.192307,0.192307,0.192307,0.192307,0.192307,0,0,0,0,0,0,0.0384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.188679,0.188679,0.188679,0.188679,0.188679,0,0,0,0,0,0,0.0566037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.185185,0.185185,0.185185,0.185185,0.185185,0,0,0,0,0,0,0.074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.181818,0.181818,0.181818,0.181818,0.181818,0,0,0,0,0,0,0.090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.16666,0.16666,0.16666,0.16666,0.16666,0,0,0,0,0,0,0.16666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.153846,0.153846,0.153846,0.153846,0.153846,0,0,0,0,0,0,0.23076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.1,0.2,0.2,0.2,0.2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425
0.2,0.1,0.2,0.2,0.2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801
0.2,0.2,0.2,0.1,0.2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755
0.196078,0.196078,0.196078,0.117647,0.196078,0,0,0,0,0,0.098039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754
0.196078,0.196078,0.196078,0.196078,0.196078,0,0,0,0,0,0.019607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.192307,0.192307,0.192307,0.192307,0.192307,0,0,0,0,0,0.0384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.188679,0.188679,0.188679,0.188679,0.188679,0,0,0,0,0,0.056603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.185185,0.185185,0.185185,0.185185,0.185185,0,0,0,0,0,0.074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.2,0.2,0.2,0.2,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708
0.181818,0.181818,0.181818,0.181818,0.181818,0,0,0,0,0,0.090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.181818,0.181818,0.181818,0.181818,0.181818,0,0,0,0,0,0.090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796
0.181818,0.181818,0.181818,0.181818,0.181818,0,0,0,0,0,0.090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715
0.181818,0.181818,0.181818,0.181818,0.181818,0,0,0,0,0,0.090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730
0.16666,0.16666,0.16666,0.16666,0.25,0,0,0,0,0,0.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586
0.153846,0.153846,0.153846,0.153846,0.30769,0,0,0,0,0,0.076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395
0.16666,0.25,0.16666,0.16666,0.16666,0,0,0,0,0,0.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741
0.153846,0.30769,0.153846,0.153846,0.153846,0,0,0,0,0,0.076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586
0.16666,0.16666,0.16666,0.25,0.16666,0,0,0,0,0,0.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635
0.153846,0.153846,0.153846,0.30769,0.153846,0,0,0,0,0,0.076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639
0.25,0.16666,0.16666,0.16666,0.16666,0,0,0,0,0,0.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655
0.30769,0.153846,0.153846,0.153846,0.153846,0,0,0,0,0,0.076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605
0.196078,0.196078,0.196078,0.196078,0.196078,0,0,0,0,0.019607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569
0.190476,0.190476,0.190476,0.190476,0.190476,0,0,0,0,0.047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668
